answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26471;play;audiobook;"[player_setting : go back] to [audiobook_name : the midnight series]";"go back to the midnight series";"Go back to the midnight series."
22359;play;audiobook;"please play recently paused [media_type : audio]";"please play recently paused audio";"Please play recently paused audio."
22140;play;audiobook;"play [audiobook_name : little women]";"play little women";"play little women"
18268;play;audiobook;"play [audiobook_name : biography of jackie kennedy]";"play biography of jackie kennedy";"Play biography of Jackie Kennedy"
20808;play;audiobook;"play recently added [media_type : audiobook]";"play recently added audiobook";"play recently added audiobook"
21290;play;audiobook;"can you play [audiobook_name : hunt for red october]";"can you play hunt for red october";"Olly, can you play Hunt for red october?"
22139;play;audiobook;"play [audiobook_name : the scarlet letter]";"play the scarlet letter";"play the scarlet letter"
22908;play;audiobook;"[player_setting : start reading] book";"start reading book";"Start reading book."
19100;play;audiobook;"play [audiobook_name : sam harris] [media_type : audiobook]";"play sam harris audiobook";"play sam harris audiobook"
25219;play;audiobook;"[player_setting : resume] [audiobook_name : joes book] from where i left off last time";"resume joes book from where i left off last time";"alexa resume joes book from where i left off last time"
22907;play;audiobook;"play my book";"play my book";"Play my book"
21291;play;audiobook;"lets listen to [audiobook_name : hunt for read october]";"lets listen to hunt for read october";"Olly, lets listen to Hunt for read october"
26759;play;audiobook;"[player_setting : restart] the [media_type : audiobook] [audiobook_name : heaven is for real]";"restart the audiobook heaven is for real";"Restart the audiobook Heaven is for real."
26470;play;audiobook;"[player_setting : restart] [audiobook_author : bill nye] [media_type : book]";"restart bill nye book";"Re-start bill nye book."
19843;play;audiobook;"play [audiobook_name : animal farm]";"play animal farm";"Play Animal Farm."
null;play;audiobook;"play [audiobook_name : the time machine] by [audiobook_author : h g wells]";"play the time machine by h g wells";"null"
19099;play;audiobook;"continue playing my [media_type : audiobook]";"continue playing my audiobook";"continue playing my audiobook"
23868;play;audiobook;"please [player_setting : resume] this playback in [media_type : audiobook]";"please resume this playback in audiobook";"please resume this playback in audiobook"
27083;play;audiobook;"[player_setting : read] the [media_type : audiobook] of [audiobook_name : war of the roses]";"read the audiobook of war of the roses";"Read the audiobook of War of the Roses"
