answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16613;social;post;"[media_type : tweet] [business_name : starbucks] and say that the customer service is awful";"tweet starbucks and say that the customer service is awful";"Tweet starbucks and say that the customer service is awful."
27064;social;post;"[media_type : tweet] a complaint to [business_name : comcast]";"tweet a complaint to comcast";"Tweet a complaint to comcast"
19776;social;post;"[media_type : tweet] [business_name : kohls] about the cleanliness of their store";"tweet kohls about the cleanliness of their store";"Tweet Kohls about the cleanliness of their store"
16865;social;post;"open [business_name : hershey] twitter";"open hershey twitter";"PDA, open hershey twitter"
15832;social;post;"please tell [person : kmart] they sent the wrong item";"please tell kmart they sent the wrong item";"Please tell Kmart they sent the wrong item."
27331;social;post;"please write up a compliant";"please write up a compliant";"PDA please write up a compliant"
8147;social;post;"hi olly post my last clicked photo on [media_type : facebook] with title marry christmas";"hi olly post my last clicked photo on facebook with title marry christmas";"Hi Siri, post my last clicked photo on facebook with title Marry Christmas"
22170;social;post;"[media_type : tweet] [business_name : @wendys] that i don't like their product";"tweet @wendys that i don't like their product";"Tweet @Wendys that I don't like their product"
19050;social;post;"tell [business_name : apple] in a [media_type : tweet] that their batteries don't hold enough charge";"tell apple in a tweet that their batteries don't hold enough charge";"Tell Apple in a tweet that their batteries don't hold enough charge"
23238;social;post;"send [media_type : tweet] to [business_name : wallmart]";"send tweet to wallmart";"Send tweet to Wallmart"
20424;social;post;"[media_type : tweet] a complaint";"tweet a complaint";"Tweet a complaint"
26387;social;post;"[media_type : tweet] [business_name : paula deen's restaurant] that the line is always too long";"tweet paula deen's restaurant that the line is always too long";"Tweet paula deen's restaurant that the line is always too long."
24548;social;post;"[media_type : tweet] for me the complaint about drainage choke up";"tweet for me the complaint about drainage choke up";"Tweet for me the complaint about drainage choke up"
20700;social;post;"[media_type : tweet] error log to [business_name : samsung]";"tweet error log to samsung";"tweet error log to samsung"
8276;social;post;"please submit status to [media_type : facebook]";"please submit status to facebook";"Please submit status to facebook"
18625;social;post;"[media_type : tweet] at [business_name : united airlines] i'm angry you lost my bags";"tweet at united airlines i'm angry you lost my bags";"Tweet at United Airlines I'm angry you lost my bags"
7380;social;post;"use [media_type : facebook] to post";"use facebook to post";"use facebook to post"
19736;social;post;"[media_type : tweet] your waiting time sucks tag [business_name : koc]";"tweet your waiting time sucks tag koc";"tweet: your waiting time sucks. tag KOC"
8142;social;post;"listening song of [person : arijit singh] post it on my [media_type : facebook] account";"listening song of arijit singh post it on my facebook account";"listening song of arijit singh,post it on my fb account."
